Pokémon,Rareza,Nivel,Método,Generación
Venomoth,Rare,37-40,Walking,Generation 3
Psyduck,Rare,31,Walking,Generation 3
Hypno,Rare,37-40,Walking,Generation 3
Exeggcute,Rare,35,Walking,Generation 3
Pidgey,Uncommon,32,Walking,Generation 3
Pidgeotto,Uncommon,37,Walking,Generation 3
Oddish,Uncommon,30,Walking,Generation 3
Gloom,Uncommon,35,Walking,Generation 3
Venonat,Uncommon,34,Walking,Generation 3
Drowzee,Uncommon,34,Walking,Generation 3
Psyduck,Common,5-40,Surfing,Generation 3
Golduck,Rare,35-40,Surfing,Generation 3
Goldeen,Common,15-25,Super Rod,Generation 3
Seaking,Common,20-30,Super Rod,Generation 3
Psyduck,Rare,15-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Goldeen,Common,5-15,Good Rod,Generation 3
Poliwag,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
