Pokémon,Rareza,Nivel,Método,Generación
Psyduck,Common,5-40,Surfing,Generation 3 - Main
Koffing,Rare,30-40,Surfing,Generation 3 - Main
Magikarp,Common,15-35,Super Rod,Generation 3 - Main
Grimer,Rare,30-40,Super Rod,Generation 3 - Main
Magikarp,Common,5-15,Good Rod,Generation 3 - Main
Magikarp,Common,5,Old Rod,Generation 3 - Main
Eevee,Common,25,Gift,Generation 3 - Celadon Mansion
Clefairy,Limited,8,Gift,Generation 3 - Game Corner
Abra,Limited,9,Gift,Generation 3 - Game Corner
Scyther,Limited,25,Gift,Generation 3 - Game Corner
Porygon,Limited,26,Gift,Generation 3 - Game Corner
Dratini,Limited,18,Gift,Generation 3 - Game Corner
