Pokémon,Rareza,Nivel,Método,Generación
Parasect,Common,49-58,Walking,Generation 3 - 1F
Electrode,Rare,58,Walking,Generation 3 - 1F
Wobbuffet,Rare,55,Walking,Generation 3 - 1F
Golbat,Uncommon,46-55,Walking,Generation 3 - 1F
Primeape,Uncommon,52-61,Walking,Generation 3 - 1F
Machoke,Uncommon,46,Walking,Generation 3 - 1F
Magneton,Uncommon,49,Walking,Generation 3 - 1F
Ditto,Uncommon,52-61,Walking,Generation 3 - 1F
Psyduck,Common,30-50,Surfing,Generation 3 - 1F
Golduck,Common,40-55,Surfing,Generation 3 - 1F
Poliwag,Common,15-25,Super Rod,Generation 3 - 1F
Poliwhirl,Common,20-30,Super Rod,Generation 3 - 1F
Psyduck,Rare,15-35,Super Rod,Generation 3 - 1F
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - 1F
Poliwag,Common,5-15,Good Rod,Generation 3 - 1F
Goldeen,Uncommon,5-15,Good Rod,Generation 3 - 1F
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - 1F
Magikarp,Common,5,Old Rod,Generation 3 - 1F
Geodude,Common,30-50,Rock Smash,Generation 3 - 1F
Graveler,Common,40-55,Rock Smash,Generation 3 - 1F
Golbat,Common,49-58,Walking,Generation 3 - 2F
Electrode,Rare,61,Walking,Generation 3 - 2F
Wobbuffet,Rare,58,Walking,Generation 3 - 2F
Parasect,Uncommon,52-61,Walking,Generation 3 - 2F
Kadabra,Uncommon,55-64,Walking,Generation 3 - 2F
Machoke,Uncommon,49,Walking,Generation 3 - 2F
Magneton,Uncommon,52,Walking,Generation 3 - 2F
Ditto,Uncommon,55-64,Walking,Generation 3 - 2F
Geodude,Common,30-50,Rock Smash,Generation 3 - 2F
Graveler,Common,40-55,Rock Smash,Generation 3 - 2F
Kadabra,Common,58-67,Walking,Generation 3 - B1F
Ditto,Common,58-67,Walking,Generation 3 - B1F
Electrode,Rare,64,Walking,Generation 3 - B1F
Wobbuffet,Rare,61,Walking,Generation 3 - B1F
Golbat,Uncommon,52-61,Walking,Generation 3 - B1F
Parasect,Uncommon,55-64,Walking,Generation 3 - B1F
Machoke,Uncommon,52,Walking,Generation 3 - B1F
Magneton,Uncommon,55,Walking,Generation 3 - B1F
Psyduck,Common,30-50,Surfing,Generation 3 - B1F
Golduck,Common,40-55,Surfing,Generation 3 - B1F
Poliwag,Common,15-25,Super Rod,Generation 3 - B1F
Poliwhirl,Common,20-30,Super Rod,Generation 3 - B1F
Psyduck,Rare,15-35,Super Rod,Generation 3 - B1F
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - B1F
Poliwag,Common,5-15,Good Rod,Generation 3 - B1F
Goldeen,Uncommon,5-15,Good Rod,Generation 3 - B1F
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - B1F
Magikarp,Common,5,Old Rod,Generation 3 - B1F
Mewtwo,Limited,70,Interact,Generation 3 - B1F
Geodude,Common,30-50,Rock Smash,Generation 3 - B1F
Graveler,Common,40-55,Rock Smash,Generation 3 - B1F
