Pokémon,Rareza,Nivel,Método,Generación
Tentacool,Common,5-40,Surfing,Generation 3 - Main
Shellder,Common,15-25,Super Rod,Generation 3 - Main
Horsea,Common,15-25,Super Rod,Generation 3 - Main
Psyduck,Rare,25-35,Super Rod,Generation 3 - Main
Seadra,Rare,25-35,Super Rod,Generation 3 - Main
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - Main
Horsea,Common,5-15,Good Rod,Generation 3 - Main
Krabby,Uncommon,5-15,Good Rod,Generation 3 - Main
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - Main
Magikarp,Common,5,Old Rod,Generation 3 - Main
Seel,Limited,—,Trade,Generation 3 - Main
Electrode,Limited,—,Trade,Generation 3 - Main
Tangela,Limited,—,Trade,Generation 3 - Main
Omanyte,Limited,5,Gift,Generation 3 - Pokémon Lab
Kabuto,Limited,5,Gift,Generation 3 - Pokémon Lab
Aerodactyl,Limited,5,Gift,Generation 3 - Pokémon Lab
