Pokémon,Rareza,Nivel,Método,Generación
Spearow,Common,30-32,Walking,Generation 3
Ponyta,Common,31-34,Walking,Generation 3
Persian,Rare,37-40,Walking,Generation 3
Psyduck,Rare,34,Walking,Generation 3
Rapidash,Rare,37-40,Walking,Generation 3
Fearow,Uncommon,36,Walking,Generation 3
Meowth,Uncommon,31,Walking,Generation 3
Geodude,Uncommon,31,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Tentacruel,Rare,35-40,Surfing,Generation 3
Horsea,Common,15-25,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Seadra,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
Geodude,Common,5-30,Rock Smash,Generation 3
Graveler,Rare,25-40,Rock Smash,Generation 3
