Pokémon,Rareza,Nivel,Método,Generación
Gastly,Common,38-40,Walking,Generation 3 - Room 1
Haunter,Common,44-52,Walking,Generation 3 - Room 1
Murkrow,Rare,22,Walking,Generation 3 - Room 1
Zubat,Uncommon,37,Walking,Generation 3 - Room 1
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 1
Gastly,Common,38-40,Walking,Generation 3 - Room 10
Haunter,Common,44-52,Walking,Generation 3 - Room 10
Murkrow,Rare,22,Walking,Generation 3 - Room 10
Zubat,Uncommon,37,Walking,Generation 3 - Room 10
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 10
Haunter,Common,44-52,Walking,Generation 3 - Room 11
Zubat,Uncommon,37,Walking,Generation 3 - Room 11
Golbat,Uncommon,41,Walking,Generation 3 - Room 11
Gastly,Uncommon,40,Walking,Generation 3 - Room 11
Murkrow,Uncommon,15-22,Walking,Generation 3 - Room 11
Haunter,Common,44-52,Walking,Generation 3 - Room 12
Zubat,Uncommon,37,Walking,Generation 3 - Room 12
Golbat,Uncommon,41,Walking,Generation 3 - Room 12
Gastly,Uncommon,40,Walking,Generation 3 - Room 12
Murkrow,Uncommon,15-22,Walking,Generation 3 - Room 12
Haunter,Common,44-52,Walking,Generation 3 - Room 13
Zubat,Uncommon,37,Walking,Generation 3 - Room 13
Golbat,Uncommon,41,Walking,Generation 3 - Room 13
Gastly,Uncommon,40,Walking,Generation 3 - Room 13
Murkrow,Uncommon,15-22,Walking,Generation 3 - Room 13
Haunter,Common,44-52,Walking,Generation 3 - Room 14
Zubat,Uncommon,37,Walking,Generation 3 - Room 14
Golbat,Uncommon,41,Walking,Generation 3 - Room 14
Gastly,Uncommon,40,Walking,Generation 3 - Room 14
Murkrow,Uncommon,15-22,Walking,Generation 3 - Room 14
Gastly,Common,38-40,Walking,Generation 3 - Room 2
Haunter,Common,44-52,Walking,Generation 3 - Room 2
Murkrow,Rare,22,Walking,Generation 3 - Room 2
Zubat,Uncommon,37,Walking,Generation 3 - Room 2
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 2
Gastly,Common,38-40,Walking,Generation 3 - Room 3
Haunter,Common,44-52,Walking,Generation 3 - Room 3
Murkrow,Rare,22,Walking,Generation 3 - Room 3
Zubat,Uncommon,37,Walking,Generation 3 - Room 3
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 3
Gastly,Common,38-40,Walking,Generation 3 - Room 4
Haunter,Common,44-52,Walking,Generation 3 - Room 4
Murkrow,Rare,22,Walking,Generation 3 - Room 4
Zubat,Uncommon,37,Walking,Generation 3 - Room 4
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 4
Gastly,Common,38-40,Walking,Generation 3 - Room 5
Haunter,Common,44-52,Walking,Generation 3 - Room 5
Murkrow,Rare,22,Walking,Generation 3 - Room 5
Zubat,Uncommon,37,Walking,Generation 3 - Room 5
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 5
Gastly,Common,38-40,Walking,Generation 3 - Room 6
Haunter,Common,44-52,Walking,Generation 3 - Room 6
Murkrow,Rare,22,Walking,Generation 3 - Room 6
Zubat,Uncommon,37,Walking,Generation 3 - Room 6
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 6
Gastly,Common,38-40,Walking,Generation 3 - Room 7
Haunter,Common,44-52,Walking,Generation 3 - Room 7
Murkrow,Rare,22,Walking,Generation 3 - Room 7
Zubat,Uncommon,37,Walking,Generation 3 - Room 7
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 7
Gastly,Common,38-40,Walking,Generation 3 - Room 8
Haunter,Common,44-52,Walking,Generation 3 - Room 8
Murkrow,Rare,22,Walking,Generation 3 - Room 8
Zubat,Uncommon,37,Walking,Generation 3 - Room 8
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 8
Gastly,Common,38-40,Walking,Generation 3 - Room 9
Haunter,Common,44-52,Walking,Generation 3 - Room 9
Murkrow,Rare,22,Walking,Generation 3 - Room 9
Zubat,Uncommon,37,Walking,Generation 3 - Room 9
Golbat,Uncommon,41-43,Walking,Generation 3 - Room 9
