Pokémon,Rareza,Nivel,Método,Generación
Hoppip,Common,6-16,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Hoppip,Common,5-15,Surfing,Generation 3
Tentacruel,Rare,35-40,Surfing,Generation 3
Horsea,Common,15-25,Super Rod,Generation 3
Qwilfish,Common,15-25,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Seadra,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
