Pokémon,Rareza,Nivel,Método,Generación
Geodude,Common,34-42,Walking,Generation 3 - 1F Ruby Path
Slugma,Common,24-30,Walking,Generation 3 - 1F Ruby Path
Geodude,Common,5-30,Rock Smash,Generation 3 - 1F Ruby Path
Graveler,Common,25-40,Rock Smash,Generation 3 - 1F Ruby Path
Machop,Common,31-39,Walking,Generation 3 - 1F Summit Path
Ponyta,Common,29-37,Walking,Generation 3 - 1F Summit Path
Geodude,Common,5-30,Rock Smash,Generation 3 - 1F Summit Path
Graveler,Rare,25-40,Rock Smash,Generation 3 - 1F Summit Path
Machop,Common,32-36,Walking,Generation 3 - 2F Summit Path
Geodude,Common,30-34,Walking,Generation 3 - 2F Summit Path
Machoke,Uncommon,38-40,Walking,Generation 3 - 2F Summit Path
Geodude,Common,5-30,Rock Smash,Generation 3 - 2F Summit Path
Graveler,Common,25-40,Rock Smash,Generation 3 - 2F Summit Path
Machop,Common,31-39,Walking,Generation 3 - 3F Summit Path
Ponyta,Common,29-37,Walking,Generation 3 - 3F Summit Path
Geodude,Common,5-30,Rock Smash,Generation 3 - 3F Summit Path
Graveler,Common,25-40,Rock Smash,Generation 3 - 3F Summit Path
Geodude,Common,40-44,Walking,Generation 3 - B1F Ruby Path
Slugma,Common,22-32,Walking,Generation 3 - B1F Ruby Path
Geodude,Common,5-30,Rock Smash,Generation 3 - B1F Ruby Path
Graveler,Common,25-40,Rock Smash,Generation 3 - B1F Ruby Path
Slugma,Common,18-36,Walking,Generation 3 - B2F Ruby Path
Slugma,Common,15-35,Rock Smash,Generation 3 - B2F Ruby Path
Magcargo,Uncommon,25-45,Rock Smash,Generation 3 - B2F Ruby Path
Geodude,Common,40-44,Walking,Generation 3 - B3F Ruby Path
Slugma,Common,22-32,Walking,Generation 3 - B3F Ruby Path
Geodude,Common,5-30,Rock Smash,Generation 3 - B3F Ruby Path
Graveler,Common,25-40,Rock Smash,Generation 3 - B3F Ruby Path
Geodude,Common,34-42,Walking,Generation 3 - B4F Ruby Path
Slugma,Common,24-30,Walking,Generation 3 - B4F Ruby Path
Geodude,Common,5-30,Rock Smash,Generation 3 - B4F Ruby Path
Graveler,Common,25-40,Rock Smash,Generation 3 - B4F Ruby Path
Fearow,Common,38-40,Walking,Generation 3 - Base
Ponyta,Common,30-36,Walking,Generation 3 - Base
Rapidash,Rare,39-42,Walking,Generation 3 - Base
Spearow,Uncommon,30-32,Walking,Generation 3 - Base
Machop,Uncommon,35,Walking,Generation 3 - Base
Geodude,Uncommon,33,Walking,Generation 3 - Base
Moltres,Limited,50,Interact,Generation 3 - Summit
