Pokémon,Rareza,Nivel,Método,Generación
Raticate,Common,32-36,Walking,Generation 3 - 1F/2F/3F
Koffing,Common,28-30,Walking,Generation 3 - 1F/2F/3F
Rattata,Uncommon,26-28,Walking,Generation 3 - 1F/2F/3F
Growlithe,Uncommon,30-32,Walking,Generation 3 - 1F/2F/3F
Grimer,Rare,28,Walking,Generation 3 - 1F/2F/3F
Weezing,Rare,32,Walking,Generation 3 - 1F/2F/3F
Raticate,Common,34-38,Walking,Generation 3 - B1F
Koffing,Common,28-30,Walking,Generation 3 - B1F
Growlithe,Uncommon,30-32,Walking,Generation 3 - B1F
Ditto,Uncommon,30,Walking,Generation 3 - B1F
Rattata,Rare,26,Walking,Generation 3 - B1F
Grimer,Rare,28,Walking,Generation 3 - B1F
Weezing,Rare,34,Walking,Generation 3 - B1F
