Pokémon,Rareza,Nivel,Método,Generación
Zubat,Common,15-16,Walking,Generation 3 - 1F
Geodude,Common,15-17,Walking,Generation 3 - 1F
Onix,Rare,13-15,Walking,Generation 3 - 1F
Mankey,Uncommon,16-17,Walking,Generation 3 - 1F
Machop,Uncommon,16-17,Walking,Generation 3 - 1F
Zubat,Common,15-16,Walking,Generation 3 - B1F
Geodude,Common,15-17,Walking,Generation 3 - B1F
Mankey,Uncommon,16-17,Walking,Generation 3 - B1F
Machop,Uncommon,17,Walking,Generation 3 - B1F
Onix,Uncommon,13-17,Walking,Generation 3 - B1F
Geodude,Common,5-30,Rock Smash,Generation 3 - B1F
Graveler,Rare,25-40,Rock Smash,Generation 3 - B1F
