Pokémon,Rareza,Nivel,Método,Generación
Pidgey,Common,13-16,Walking,Generation 3
Oddish,Common,13-16,Walking,Generation 3
Meowth,Common,10-16,Walking,Generation 3
Psyduck,Common,20-40,Surfing,Generation 3
Poliwag,Common,15-25,Super Rod,Generation 3
Poliwhirl,Common,20-30,Super Rod,Generation 3
Psyduck,Rare,15-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Poliwag,Common,5-15,Good Rod,Generation 3
Goldeen,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
