Pokémon,Rareza,Nivel,Método,Generación
Natu,Common,15-20,Walking,Generation 3
Persian,Rare,49-52,Walking,Generation 3
Psyduck,Rare,41,Walking,Generation 3
Wobbuffet,Rare,25,Walking,Generation 3
Spearow,Uncommon,44,Walking,Generation 3
Fearow,Uncommon,49,Walking,Generation 3
Meowth,Uncommon,43,Walking,Generation 3
Yanma,Uncommon,18,Walking,Generation 3
Wooper,Uncommon,15,Walking,Generation 3
Wooper,Common,5-25,Surfing,Generation 3
Poliwag,Common,15-25,Super Rod,Generation 3
Poliwhirl,Common,20-30,Super Rod,Generation 3
Psyduck,Rare,15-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Poliwag,Common,5-15,Good Rod,Generation 3
Goldeen,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
