Pokémon,Rareza,Nivel,Método,Generación
Nidoran♂,Uncommon,22,Walking,Generation 3 - Center
Exeggcute,Uncommon,24-25,Walking,Generation 3 - Center
Rhyhorn,Uncommon,25,Walking,Generation 3 - Center
Venonat,Uncommon,22,Walking,Generation 3 - Center
Nidorino,Uncommon,31,Walking,Generation 3 - Center
Nidorina,Rare,31,Walking,Generation 3 - Center
Parasect,Rare,30,Walking,Generation 3 - Center
Scyther,Rare,23,Walking,Generation 3 - Center
Chansey,Rare,23,Walking,Generation 3 - Center
Psyduck,Common,20-40,Surfing,Generation 3 - Center
Goldeen,Common,15-25,Super Rod,Generation 3 - Center
Seaking,Common,20-30,Super Rod,Generation 3 - Center
Dratini,Uncommon,15-25,Super Rod,Generation 3 - Center
Psyduck,Rare,15-35,Super Rod,Generation 3 - Center
Dragonair,Rare,25-35,Super Rod,Generation 3 - Center
Goldeen,Common,5-15,Good Rod,Generation 3 - Center
Poliwag,Uncommon,5-15,Good Rod,Generation 3 - Center
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - Center
Magikarp,Common,5,Old Rod,Generation 3 - Center
Nidoran♂,Uncommon,24,Walking,Generation 3 - East
Doduo,Uncommon,26,Walking,Generation 3 - East
Exeggcute,Uncommon,23-25,Walking,Generation 3 - East
Paras,Uncommon,22,Walking,Generation 3 - East
Nidorino,Uncommon,33,Walking,Generation 3 - East
Nidoran♀,Rare,24,Walking,Generation 3 - East
Parasect,Rare,25,Walking,Generation 3 - East
Kangaskhan,Rare,25,Walking,Generation 3 - East
Scyther,Rare,28,Walking,Generation 3 - East
Psyduck,Common,20-40,Surfing,Generation 3 - East
Goldeen,Common,15-25,Super Rod,Generation 3 - East
Seaking,Common,20-30,Super Rod,Generation 3 - East
Dratini,Uncommon,15-25,Super Rod,Generation 3 - East
Psyduck,Rare,15-35,Super Rod,Generation 3 - East
Dragonair,Rare,25-35,Super Rod,Generation 3 - East
Goldeen,Common,5-15,Good Rod,Generation 3 - East
Poliwag,Uncommon,5-15,Good Rod,Generation 3 - East
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - East
Magikarp,Common,5,Old Rod,Generation 3 - East
Nidoran♂,Uncommon,30,Walking,Generation 3 - North
Exeggcute,Uncommon,25-27,Walking,Generation 3 - North
Rhyhorn,Uncommon,26,Walking,Generation 3 - North
Paras,Uncommon,23,Walking,Generation 3 - North
Nidorino,Uncommon,30,Walking,Generation 3 - North
Nidorina,Rare,30,Walking,Generation 3 - North
Venomoth,Rare,32,Walking,Generation 3 - North
Chansey,Rare,26,Walking,Generation 3 - North
Tauros,Rare,28,Walking,Generation 3 - North
Psyduck,Common,20-40,Surfing,Generation 3 - North
Goldeen,Common,15-25,Super Rod,Generation 3 - North
Seaking,Common,20-30,Super Rod,Generation 3 - North
Dratini,Uncommon,15-25,Super Rod,Generation 3 - North
Psyduck,Rare,15-35,Super Rod,Generation 3 - North
Dragonair,Rare,25-35,Super Rod,Generation 3 - North
Goldeen,Common,5-15,Good Rod,Generation 3 - North
Poliwag,Uncommon,5-15,Good Rod,Generation 3 - North
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - North
Magikarp,Common,5,Old Rod,Generation 3 - North
Nidoran♂,Uncommon,22,Walking,Generation 3 - West
Doduo,Uncommon,26,Walking,Generation 3 - West
Exeggcute,Uncommon,25-27,Walking,Generation 3 - West
Venonat,Uncommon,23,Walking,Generation 3 - West
Nidorino,Uncommon,30,Walking,Generation 3 - West
Nidoran♀,Rare,30,Walking,Generation 3 - West
Venomoth,Rare,32,Walking,Generation 3 - West
Tauros,Rare,25,Walking,Generation 3 - West
Kangaskhan,Rare,28,Walking,Generation 3 - West
Psyduck,Common,20-40,Surfing,Generation 3 - West
Goldeen,Common,15-25,Super Rod,Generation 3 - West
Seaking,Common,20-30,Super Rod,Generation 3 - West
Dratini,Uncommon,15-25,Super Rod,Generation 3 - West
Psyduck,Rare,15-35,Super Rod,Generation 3 - West
Dragonair,Rare,25-35,Super Rod,Generation 3 - West
Goldeen,Common,5-15,Good Rod,Generation 3 - West
Poliwag,Uncommon,5-15,Good Rod,Generation 3 - West
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - West
Magikarp,Common,5,Old Rod,Generation 3 - West
