Pokémon,Rareza,Nivel,Método,Generación
Zubat,Common,22-26,Walking,Generation 3 - 1F
Psyduck,Common,26-33,Walking,Generation 3 - 1F
Golbat,Uncommon,26-30,Walking,Generation 3 - 1F
Zubat,Common,22-26,Walking,Generation 3 - B1F
Psyduck,Common,29-31,Walking,Generation 3 - B1F
Golduck,Rare,33-35,Walking,Generation 3 - B1F
Golbat,Uncommon,26-30,Walking,Generation 3 - B1F
Seel,Uncommon,28,Walking,Generation 3 - B1F
Psyduck,Common,30-32,Walking,Generation 3 - B2F
Zubat,Uncommon,22-24,Walking,Generation 3 - B2F
Golbat,Uncommon,26-30,Walking,Generation 3 - B2F
Golduck,Uncommon,32-34,Walking,Generation 3 - B2F
Seel,Uncommon,30-32,Walking,Generation 3 - B2F
Seel,Common,30-32,Walking,Generation 3 - B3F
Dewgong,Rare,32-34,Walking,Generation 3 - B3F
Zubat,Uncommon,24,Walking,Generation 3 - B3F
Golbat,Uncommon,26-30,Walking,Generation 3 - B3F
Psyduck,Uncommon,30-32,Walking,Generation 3 - B3F
Golduck,Uncommon,32-34,Walking,Generation 3 - B3F
Seel,Common,25-35,Surfing,Generation 3 - B3F
Horsea,Common,25-30,Surfing,Generation 3 - B3F
Psyduck,Rare,30-40,Surfing,Generation 3 - B3F
Golduck,Rare,35-40,Surfing,Generation 3 - B3F
Dewgong,Rare,35-40,Surfing,Generation 3 - B3F
Horsea,Common,15-30,Super Rod,Generation 3 - B3F
Psyduck,Rare,15-25,Super Rod,Generation 3 - B3F
Gyarados,Uncommon,15-35,Super Rod,Generation 3 - B3F
Horsea,Common,5-15,Good Rod,Generation 3 - B3F
Krabby,Uncommon,5-15,Good Rod,Generation 3 - B3F
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - B3F
Magikarp,Common,5,Old Rod,Generation 3 - B3F
Seel,Common,30-34,Walking,Generation 3 - B4F
Golbat,Uncommon,26-30,Walking,Generation 3 - B4F
Psyduck,Uncommon,32,Walking,Generation 3 - B4F
Golduck,Uncommon,32-34,Walking,Generation 3 - B4F
Dewgong,Uncommon,34-36,Walking,Generation 3 - B4F
Seel,Common,25-35,Surfing,Generation 3 - B4F
Horsea,Common,25-30,Surfing,Generation 3 - B4F
Psyduck,Rare,30-40,Surfing,Generation 3 - B4F
Golduck,Rare,35-40,Surfing,Generation 3 - B4F
Dewgong,Rare,35-40,Surfing,Generation 3 - B4F
Horsea,Common,15-30,Super Rod,Generation 3 - B4F
Psyduck,Rare,15-25,Super Rod,Generation 3 - B4F
Gyarados,Uncommon,15-35,Super Rod,Generation 3 - B4F
Horsea,Common,5-15,Good Rod,Generation 3 - B4F
Krabby,Uncommon,5-15,Good Rod,Generation 3 - B4F
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - B4F
Magikarp,Common,5,Old Rod,Generation 3 - B4F
Articuno,Limited,50,Interact,Generation 3 - B4F
