Pokémon,Rareza,Nivel,Método,Generación
Unown,Common,25,Walking,Generation 3 - Dilford Chamber
Unown,Common,25,Walking,Generation 3 - Liptoo Chamber
Unown,Common,25,Walking,Generation 3 - Monean Chamber
Unown,Common,25,Walking,Generation 3 - Rixy Chamber
Unown,Common,25,Walking,Generation 3 - Scufib Chamber
Unown,Common,25,Walking,Generation 3 - Viapois Chamber
Unown,Common,25,Walking,Generation 3 - Weepeth Chamber
Tentacool,Common,5-40,Surfing,Generation 3 - Main
Tentacruel,Rare,35-40,Surfing,Generation 3 - Main
Horsea,Common,15-25,Super Rod,Generation 3 - Main
Qwilfish,Common,15-25,Super Rod,Generation 3 - Main
Psyduck,Rare,25-35,Super Rod,Generation 3 - Main
Seadra,Rare,25-35,Super Rod,Generation 3 - Main
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - Main
Horsea,Common,5-15,Good Rod,Generation 3 - Main
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - Main
Magikarp,Common,5,Old Rod,Generation 3 - Main
