Pokémon,Rareza,Nivel,Método,Generación
Sentret,Common,10-15,Walking,Generation 3
Gloom,Rare,48,Walking,Generation 3
Persian,Rare,47-50,Walking,Generation 3
Psyduck,Rare,41,Walking,Generation 3
Spearow,Uncommon,44,Walking,Generation 3
Fearow,Uncommon,48-50,Walking,Generation 3
Oddish,Uncommon,44,Walking,Generation 3
Meowth,Uncommon,41,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Tentacruel,Rare,35-40,Surfing,Generation 3
Horsea,Common,15-25,Super Rod,Generation 3
Qwilfish,Common,15-25,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Seadra,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
