Pokémon,Rareza,Nivel,Método,Generación
Oddish,Common,30-32,Walking,Generation 3
Persian,Rare,37-40,Walking,Generation 3
Psyduck,Rare,31,Walking,Generation 3
Golduck,Rare,37-40,Walking,Generation 3
Spearow,Uncommon,31,Walking,Generation 3
Fearow,Uncommon,36,Walking,Generation 3
Gloom,Uncommon,36-38,Walking,Generation 3
Meowth,Uncommon,31,Walking,Generation 3
Psyduck,Common,5-40,Surfing,Generation 3
Golduck,Rare,35-40,Surfing,Generation 3
Poliwag,Common,15-25,Super Rod,Generation 3
Poliwhirl,Common,20-30,Super Rod,Generation 3
Psyduck,Rare,15-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Poliwag,Common,5-15,Good Rod,Generation 3
Goldeen,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
