Pokémon,Rareza,Nivel,Método,Generación
Golbat,Common,45-48,Walking,Generation 3 - 1F Room 1
Seel,Common,43-47,Walking,Generation 3 - 1F Room 1
Psyduck,Rare,41,Walking,Generation 3 - 1F Room 1
Zubat,Uncommon,40,Walking,Generation 3 - 1F Room 1
Dewgong,Uncommon,49-53,Walking,Generation 3 - 1F Room 1
Psyduck,Common,5-35,Surfing,Generation 3 - 1F Room 1
Seel,Common,5-35,Surfing,Generation 3 - 1F Room 1
Dewgong,Rare,35-40,Surfing,Generation 3 - 1F Room 1
Marill,Rare,5-15,Surfing,Generation 3 - 1F Room 1
Poliwag,Common,15-25,Super Rod,Generation 3 - 1F Room 1
Poliwhirl,Common,20-30,Super Rod,Generation 3 - 1F Room 1
Psyduck,Rare,15-35,Super Rod,Generation 3 - 1F Room 1
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - 1F Room 1
Poliwag,Common,5-15,Good Rod,Generation 3 - 1F Room 1
Goldeen,Uncommon,5-15,Good Rod,Generation 3 - 1F Room 1
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - 1F Room 1
Magikarp,Common,5,Old Rod,Generation 3 - 1F Room 1
Golbat,Common,45-48,Walking,Generation 3 - 1F Room 2
Swinub,Common,23-31,Walking,Generation 3 - 1F Room 2
Delibird,Rare,30,Walking,Generation 3 - 1F Room 2
Zubat,Uncommon,40,Walking,Generation 3 - 1F Room 2
Seel,Uncommon,45,Walking,Generation 3 - 1F Room 2
Golbat,Common,45-48,Walking,Generation 3 - 1F Room 3
Seel,Common,43-47,Walking,Generation 3 - 1F Room 3
Psyduck,Rare,41,Walking,Generation 3 - 1F Room 3
Zubat,Uncommon,40,Walking,Generation 3 - 1F Room 3
Dewgong,Uncommon,49-53,Walking,Generation 3 - 1F Room 3
Tentacool,Common,5-45,Surfing,Generation 3 - 1F Room 3
Tentacruel,Rare,35-45,Surfing,Generation 3 - 1F Room 3
Lapras,Rare,30-45,Surfing,Generation 3 - 1F Room 3
Shellder,Common,15-25,Super Rod,Generation 3 - 1F Room 3
Horsea,Common,15-25,Super Rod,Generation 3 - 1F Room 3
Psyduck,Rare,25-35,Super Rod,Generation 3 - 1F Room 3
Seadra,Rare,25-35,Super Rod,Generation 3 - 1F Room 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - 1F Room 3
Horsea,Common,5-15,Good Rod,Generation 3 - 1F Room 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - 1F Room 3
Magikarp,Common,5,Old Rod,Generation 3 - 1F Room 3
Golbat,Common,45-48,Walking,Generation 3 - B1F
Piloswine,Common,23-31,Walking,Generation 3 - B1F
Delibird,Rare,30,Walking,Generation 3 - B1F
Zubat,Uncommon,40,Walking,Generation 3 - B1F
Seel,Uncommon,45,Walking,Generation 3 - B1F
