Pokémon,Rareza,Nivel,Método,Generación
Gastly,Common,13-19,Walking,Generation 3 - 3F
Haunter,Rare,20,Walking,Generation 3 - 3F
Cubone,Rare,15-17,Walking,Generation 3 - 3F
Gastly,Common,13-19,Walking,Generation 3 - 4F
Haunter,Rare,20,Walking,Generation 3 - 4F
Cubone,Rare,15-17,Walking,Generation 3 - 4F
Gastly,Common,13-19,Walking,Generation 3 - 5F
Haunter,Rare,20,Walking,Generation 3 - 5F
Cubone,Rare,15-17,Walking,Generation 3 - 5F
Gastly,Common,17-19,Walking,Generation 3 - 6F
Haunter,Rare,21-23,Walking,Generation 3 - 6F
Cubone,Rare,17-19,Walking,Generation 3 - 6F
Gastly,Common,15-19,Walking,Generation 3 - 7F
Haunter,Uncommon,23-25,Walking,Generation 3 - 7F
Cubone,Uncommon,17-19,Walking,Generation 3 - 7F
