Pokémon,Rareza,Nivel,Método,Generación
Oddish,Common,12-14,Walking,Generation 3
Metapod,Rare,8,Walking,Generation 3
Kakuna,Rare,8,Walking,Generation 3
Caterpie,Uncommon,7,Walking,Generation 3
Weedle,Uncommon,7,Walking,Generation 3
Pidgey,Uncommon,11-13,Walking,Generation 3
Abra,Uncommon,8-12,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Horsea,Common,15-35,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Krabby,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
