Pokémon,Rareza,Nivel,Método,Generación
Geodude,Common,46,Walking,Generation 3
Phanpy,Common,15,Walking,Generation 3
Persian,Rare,49-52,Walking,Generation 3
Onix,Rare,54,Walking,Generation 3
Skarmory,Rare,30,Walking,Generation 3
Larvitar,Rare,15-20,Walking,Generation 3
Fearow,Uncommon,50,Walking,Generation 3
Meowth,Uncommon,43,Walking,Generation 3
Cubone,Uncommon,46,Walking,Generation 3
Marowak,Uncommon,52,Walking,Generation 3
Geodude,Common,25-40,Rock Smash,Generation 3
Graveler,Common,30-50,Rock Smash,Generation 3
