Pokémon,Rareza,Nivel,Método,Generación
Spearow,Common,31-32,Walking,Generation 3
Tangela,Common,33-35,Walking,Generation 3
Persian,Rare,37-40,Walking,Generation 3
Psyduck,Rare,31,Walking,Generation 3
Fearow,Uncommon,36-40,Walking,Generation 3
Meowth,Uncommon,31,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Tentacruel,Rare,35-40,Surfing,Generation 3
Horsea,Common,15-25,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Seadra,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
