Pokémon,Rareza,Nivel,Método,Generación
Tentacool,Common,5-40,Surfing,Generation 3 - City
Shellder,Common,15-25,Super Rod,Generation 3 - City
Horsea,Common,15-25,Super Rod,Generation 3 - City
Psyduck,Rare,25-35,Super Rod,Generation 3 - City
Krabby,Rare,25-30,Super Rod,Generation 3 - City
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - City
Horsea,Common,5-15,Good Rod,Generation 3 - City
Krabby,Uncommon,5-15,Good Rod,Generation 3 - City
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - City
Magikarp,Common,5,Old Rod,Generation 3 - City
Farfetch'd,Limited,—,Trade,Generation 3 - City
Tentacool,Common,5-40,Surfing,Generation 3 - Harbor
Shellder,Common,15-25,Super Rod,Generation 3 - Harbor
Horsea,Common,15-25,Super Rod,Generation 3 - Harbor
Psyduck,Rare,25-35,Super Rod,Generation 3 - Harbor
Gyarados,Uncommon,15-25,Super Rod,Generation 3 - Harbor
Horsea,Common,5-15,Good Rod,Generation 3 - Harbor
Krabby,Uncommon,5-15,Good Rod,Generation 3 - Harbor
Magikarp,Uncommon,5-15,Good Rod,Generation 3 - Harbor
Magikarp,Common,5,Old Rod,Generation 3 - Harbor
