Pokémon,Rareza,Nivel,Método,Generación
Onix,Common,40-46,Walking,Generation 3 - 1F
Machop,Uncommon,32,Walking,Generation 3 - 1F
Geodude,Uncommon,32,Walking,Generation 3 - 1F
Zubat,Uncommon,32,Walking,Generation 3 - 1F
Arbok,Rare,44,Walking,Generation 3 - 1F
Golbat,Rare,44,Walking,Generation 3 - 1F
Machoke,Rare,44-46,Walking,Generation 3 - 1F
Marowak,Rare,44-46,Walking,Generation 3 - 1F
Machop,Uncommon,34,Walking,Generation 3 - 2F
Geodude,Uncommon,34,Walking,Generation 3 - 2F
Onix,Uncommon,45-48,Walking,Generation 3 - 2F
Zubat,Uncommon,34,Walking,Generation 3 - 2F
Primeape,Uncommon,42,Walking,Generation 3 - 2F
Arbok,Rare,46,Walking,Generation 3 - 2F
Golbat,Rare,46,Walking,Generation 3 - 2F
Machoke,Rare,46-48,Walking,Generation 3 - 2F
Marowak,Rare,46-48,Walking,Generation 3 - 2F
Onix,Common,40-46,Walking,Generation 3 - 3F
Machop,Uncommon,32,Walking,Generation 3 - 3F
Geodude,Uncommon,32,Walking,Generation 3 - 3F
Zubat,Uncommon,32,Walking,Generation 3 - 3F
Arbok,Rare,44,Walking,Generation 3 - 3F
Golbat,Rare,44,Walking,Generation 3 - 3F
Machoke,Rare,44-46,Walking,Generation 3 - 3F
Marowak,Rare,44-46,Walking,Generation 3 - 3F
